hit_id,year,postdate,title,link,sent_idx,sentence,context,type,element_no,element,element_display,trigger,type_old
0fab5f25a5266858,2025,20251209,"비버 롹스 버닝비버 2025 후기 , 산나비 굿즈 폭발적 인기",https://blog.naver.com/neopgame/224103297008,0,동대문디자인플라자(DDP) 아트홀 에서 열렸습니다.,[[동대문디자인플라자]](DDP) 아트홀 에서 열렸습니다.,장소/공간,55,DDP|동대문디지털플라자|동대문디자인플라자|동대문 디자인 플라자,DDP,동대문디자인플라자,공간/배치
e1c6879668291c37,2025,20251209,"비버 롹스 버닝비버 2025 후기 , 산나비 굿즈 폭발적 인기",https://blog.naver.com/neopgame/224103297008,2,행사장에 들어가면 가이드 & 퀘스트북 하나를 받을 수 있는데요.,행사장에 들어가면 가이드 & [[퀘스트북]] 하나를 받을 수 있는데요.,굿즈/리워드,57,가이드북|퀘스트북,가이드북,퀘스트북,굿즈/리워드
f6c8873576a38b91,2025,20251209,"비버 롹스 버닝비버 2025 후기 , 산나비 굿즈 폭발적 인기",https://blog.naver.com/neopgame/224103297008,3,"R(Red Zone) 다양한 장르의 게임을 자주 플레이하거나, 고난이도 게임을 선호하는 유저 G(Green Zone) 몇 개의 인디 타이틀을 클리어해본 유저 B(Blue Zone) 평소에 간단한 게임을 즐기는 유저 올해의 컨셉은 RGB 인데, 게임 부스도 R, G, B 존 으로 분류해두었습니다.","R(Red Zone) 다양한 장르의 게임을 자주 플레이하거나, 고난이도 게임을 선호하는 유저 G(Green Zone) 몇 개의 인디 타이틀을 클리어해본 유저 B(Blue Zone) 평소에 간단한 게임을 즐기는 유저 올해의 컨셉은 [[RGB]] 인데, 게임 부스도 R, G, B 존 으로 분류해두었습니다.",장소/공간,64,RGB|R존|G존|B존,RGB,RGB,존/동선
f4c4c8314c1bef75,2025,20251209,"비버 롹스 버닝비버 2025 후기 , 산나비 굿즈 폭발적 인기",https://blog.naver.com/neopgame/224103297008,40,산나비 였습니다.,[[산나비]] 였습니다.,게임/IP,54,산나비,산나비,산나비,게임/IP
ca17b0860909861a,2025,20251209,"비버 롹스 버닝비버 2025 후기 , 산나비 굿즈 폭발적 인기",https://blog.naver.com/neopgame/224103297008,45,한편 행사장 출구 쪽으로 나가면 아웃 오브 인덱스(Out of Index) 존이 있는데요.,한편 행사장 출구 쪽으로 나가면 아웃 오브 인덱스([[Out of Index]]) 존이 있는데요.,파트너쉽,66,Out of index|Out Of Index|OOI,Out of index,Out of Index,파트너/기관
437d1768300a696b,2025,20251209,"비버 롹스 버닝비버 2025 후기 , 산나비 굿즈 폭발적 인기",https://blog.naver.com/neopgame/224103297008,50,한 번 더 밖으로 나가니까 이번에는 네이버 웹툰 존 이 기다리고 있었습니다.,한 번 더 밖으로 나가니까 이번에는 [[네이버 웹툰]] 존 이 기다리고 있었습니다.,파트너쉽,67,네이버 웹툰|네이버웹툰,네이버 웹툰,네이버 웹툰,파트너/기관
5b452098d80728ce,2025,20251209,"비버 롹스 버닝비버 2025 후기 , 산나비 굿즈 폭발적 인기",https://blog.naver.com/neopgame/224103297008,51,네이버 웹툰을 기반으로 한 캐주얼 게임들이 많이 보였는데요.,[[네이버 웹툰]]을 기반으로 한 캐주얼 게임들이 많이 보였는데요.,파트너쉽,67,네이버 웹툰|네이버웹툰,네이버 웹툰,네이버 웹툰,파트너/기관
b3261fc122d3d34b,2025,20251209,"비버 롹스 버닝비버 2025 후기 , 산나비 굿즈 폭발적 인기",https://blog.naver.com/neopgame/224103297008,53,존 나르센 키우기 사전예약을 하면 내 얼굴로 픽셀 아트 캐리커처를 그려주시더라고요.,존 나르센 키우기 사전예약을 하면 내 얼굴로 픽셀 아트 [[캐리커처]]를 그려주시더라고요.,이벤트,72,캐리커쳐|캐리커처|초상화|빗빛,캐리커쳐,캐리커처,현장 이벤트
c254d4c6d53c8ee8,2025,20251209,"비버 롹스 버닝비버 2025 후기 , 산나비 굿즈 폭발적 인기",https://blog.naver.com/neopgame/224103297008,55,네이버 웹툰 존을 나가면 대망의 리워드 존이 있습니다.,[[네이버 웹툰]] 존을 나가면 대망의 리워드 존이 있습니다.,파트너쉽,67,네이버 웹툰|네이버웹툰,네이버 웹툰,네이버 웹툰,파트너/기관
14b5b47cd5bf48a4,2025,20251209,"비버 롹스 버닝비버 2025 후기 , 산나비 굿즈 폭발적 인기",https://blog.naver.com/neopgame/224103297008,56,리워드를 받기 위해서는 B토큰이 필요 합니다.,리워드를 받기 위해서는 [[B토큰]]이 필요 합니다.,굿즈/리워드,56,B토큰|토큰,B토큰,B토큰,굿즈/리워드
