year,game,MentionedPosts,examples_json
2022,카투바의 밀렵꾼,5,"[{""context"": ""유영조 - [[카투바의 밀렵꾼]]"", ""title"": ""더겜소년의 버닝비버 후기 3일차 完 (+스토브 인디 어워즈)"", ""link"": ""https://blog.naver.com/dlckdals5050/222963211791""}, {""context"": ""[[카투바의 밀렵꾼]]"", ""title"": ""더겜소년의 버닝비버 후기 2일차"", ""link"": ""https://blog.naver.com/dlckdals5050/222963092118""}, {""context"": ""저는 [[카투바의 밀렵꾼]]을 개발하신 유영조님을 우연히 만나게되어 같이 피자를 먹으면서 대화를 나눴습니다."", ""title"": ""더겜소년의 버닝비버 후기 1일차"", ""link"": ""https://blog.naver.com/dlckdals5050/222962839195""}, {""context"": ""<[[카투바의 밀렵꾼]]>"", ""title"": ""[ 버닝비버 ] 인디게임 페스티벌, 버닝비버 2022 오프라인 후기 !!"", ""link"": ""https://blog.naver.com/ksuj60/222961766490""}, {""context"": ""유영조님의 '[[카투바의 밀렵꾼]]' 게임을 많이 좋아했습니다."", ""title"": ""버닝비버 2022 시상식 인디게임 어워즈 시상식 참석 후기"", ""link"": ""https://blog.naver.com/leeon715/222959496468""}]"
2022,당신의 안녕을 위하여,4,"[{""context"": ""예전에 기사에서 보고 진짜 플레이 해보고 싶던 게임이었는데 드디어 해본 [[당신의 안녕을 위하여]]"", ""title"": ""버닝비버 2022 후기"", ""link"": ""https://blog.naver.com/loll_ipop/222964168289""}, {""context"": ""[[당신의 안녕을 위하여]]"", ""title"": ""더겜소년의 버닝비버 후기 3일차 完 (+스토브 인디 어워즈)"", ""link"": ""https://blog.naver.com/dlckdals5050/222963211791""}, {""context"": ""<[[당신의 안녕을 위하여]]>"", ""title"": ""[ 버닝비버 ] 인디게임 페스티벌, 버닝비버 2022 오프라인 후기 !!"", ""link"": ""https://blog.naver.com/ksuj60/222961766490""}, {""context"": ""'[[당신의 안녕을 위하여]]'는 법의학 게임으로 추리 장르 게임이었습니다."", ""title"": ""버닝비버 2022 시상식 인디게임 어워즈 시상식 참석 후기"", ""link"": ""https://blog.naver.com/leeon715/222959496468""}]"
2022,박스 투 더 박스,4,"[{""context"": ""데린 - [[박스 투 더 박스]]"", ""title"": ""더겜소년의 버닝비버 후기 3일차 完 (+스토브 인디 어워즈)"", ""link"": ""https://blog.naver.com/dlckdals5050/222963211791""}, {""context"": ""[[박스 투 더 박스]]"", ""title"": ""더겜소년의 버닝비버 후기 2일차"", ""link"": ""https://blog.naver.com/dlckdals5050/222963092118""}, {""context"": ""<[[박스 투 더 박스]]>"", ""title"": ""[ 버닝비버 ] 인디게임 페스티벌, 버닝비버 2022 오프라인 후기 !!"", ""link"": ""https://blog.naver.com/ksuj60/222961766490""}, {""context"": ""'[[박스 투 더 박스]]'의 경우 사전에 움직임을 입력한 과거의 캐릭터와 현재의 캐릭터가 협력하여 길을 통과하는 퍼즐 게임입니다."", ""title"": ""버닝비버 2022 시상식 인디게임 어워즈 시상식 참석 후기"", ""link"": ""https://blog.naver.com/leeon715/222959496468""}]"
2022,블루 웬즈데이,4,"[{""context"": ""같이 갔던 친구의 추천으로 해본 [[블루 웬즈데이]]"", ""title"": ""버닝비버 2022 후기"", ""link"": ""https://blog.naver.com/loll_ipop/222964168289""}, {""context"": ""로코 모티브, [[블루 웬즈데이]]"", ""title"": ""인디게임 행사 GOAT, 버닝비버 후기"", ""link"": ""https://blog.naver.com/neopgame/223735112498""}, {""context"": ""워너비 파트너상 - [[블루웬즈데이]], LOCO MOTIVE"", ""title"": ""더겜소년의 버닝비버 후기 3일차 完 (+스토브 인디 어워즈)"", ""link"": ""https://blog.naver.com/dlckdals5050/222963211791""}, {""context"": ""[[블루 웬즈데이]]는 음악을 따라가는 포인트 앤 클릭 게임인데 이야기와 어우러지는 그 음악이 매력적이기에 음악을 따라서 스토리를 계속 따라는 게임이었죠"", ""title"": ""인디 게임의 가능성을 채험했던, 버닝비버 온라인 게임 후기"", ""link"": ""https://blog.naver.com/newcontinue/223733790253""}]"
2022,RP7,3,"[{""context"": ""[[RP7]]"", ""title"": ""더겜소년의 버닝비버 후기 3일차 完 (+스토브 인디 어워즈)"", ""link"": ""https://blog.naver.com/dlckdals5050/222963211791""}, {""context"": ""<[[RP7]]>"", ""title"": ""[ 버닝비버 ] 인디게임 페스티벌, 버닝비버 2022 오프라인 후기 !!"", ""link"": ""https://blog.naver.com/ksuj60/222961766490""}, {""context"": ""[[RP7]]은 캐릭터를 조작하는 것이 아닌 길, 즉 환경이라는 변수를 바꾸는 게임입니다."", ""title"": ""버닝비버 2022 시상식 인디게임 어워즈 시상식 참석 후기"", ""link"": ""https://blog.naver.com/leeon715/222959496468""}]"
2022,더 램지,3,"[{""context"": ""[[더 램지]]"", ""title"": ""인디게임 행사 GOAT, 버닝비버 후기"", ""link"": ""https://blog.naver.com/neopgame/223735112498""}, {""context"": ""[[더 램지]]"", ""title"": ""더겜소년의 버닝비버 후기 2일차"", ""link"": ""https://blog.naver.com/dlckdals5050/222963092118""}, {""context"": ""[[더 램지]]"", ""title"": ""인디 게임의 가능성을 채험했던, 버닝비버 온라인 게임 후기"", ""link"": ""https://blog.naver.com/newcontinue/223733790253""}]"
2022,로드 오브 파티,3,"[{""context"": ""네이버 웹툰 이승훈 님의 특별상 - [[로드 오브 파티]]"", ""title"": ""더겜소년의 버닝비버 후기 3일차 完 (+스토브 인디 어워즈)"", ""link"": ""https://blog.naver.com/dlckdals5050/222963211791""}, {""context"": ""[[로드 오브 파티]]"", ""title"": ""더겜소년의 버닝비버 후기 1일차"", ""link"": ""https://blog.naver.com/dlckdals5050/222962839195""}, {""context"": ""<크로노소드>, <스탠드얼론>, <[[로드오브파티]]>, <프로스토리>"", ""title"": ""[ 버닝비버 ] 인디게임 페스티벌, 버닝비버 2022 오프라인 후기 !!"", ""link"": ""https://blog.naver.com/ksuj60/222961766490""}]"
2022,비포 더 나이트,3,"[{""context"": ""언에듀케이티드 게임 스튜디오 - [[비포 더 나이트]]"", ""title"": ""더겜소년의 버닝비버 후기 3일차 完 (+스토브 인디 어워즈)"", ""link"": ""https://blog.naver.com/dlckdals5050/222963211791""}, {""context"": ""[[비포 더 나이트]]"", ""title"": ""더겜소년의 버닝비버 후기 1일차"", ""link"": ""https://blog.naver.com/dlckdals5050/222962839195""}, {""context"": ""<[[비포 더 나이트]]>"", ""title"": ""[ 버닝비버 ] 인디게임 페스티벌, 버닝비버 2022 오프라인 후기 !!"", ""link"": ""https://blog.naver.com/ksuj60/222961766490""}]"
2022,프로스토리,3,"[{""context"": ""뒤끝 권오현 대표님의 특별상 - [[프로스토리]]"", ""title"": ""더겜소년의 버닝비버 후기 3일차 完 (+스토브 인디 어워즈)"", ""link"": ""https://blog.naver.com/dlckdals5050/222963211791""}, {""context"": ""[[프로스토리]]"", ""title"": ""더겜소년의 버닝비버 후기 1일차"", ""link"": ""https://blog.naver.com/dlckdals5050/222962839195""}, {""context"": ""<크로노소드>, <스탠드얼론>, <로드오브파티>, <[[프로스토리]]>"", ""title"": ""[ 버닝비버 ] 인디게임 페스티벌, 버닝비버 2022 오프라인 후기 !!"", ""link"": ""https://blog.naver.com/ksuj60/222961766490""}]"
2022,30일 어나더,2,"[{""context"": ""30일의 후속작인 [[30일 어나더]]"", ""title"": ""버닝비버 2022 후기"", ""link"": ""https://blog.naver.com/loll_ipop/222964168289""}, {""context"": ""[[30일 어나더]]"", ""title"": ""더겜소년의 버닝비버 후기 1일차"", ""link"": ""https://blog.naver.com/dlckdals5050/222962839195""}]"
