year,tag,MentionedPosts,RANK
2022,#즐길 거리 많은,13,1
2022,#의미있는,11,2
2022,#재미있는,11,3
2022,#체험할 수 있는,10,4
2022,#쾌적한,10,5
2022,#실험 정신,7,6
2022,#친절한,7,7
2022,#혼잡한,2,8
2023,#재미있는,27,1
2023,#즐길 거리 많은,25,2
2023,#체험할 수 있는,22,3
2023,#의미있는,21,4
2023,#쾌적한,16,5
2023,#혼잡한,12,6
2023,#실험 정신,11,7
2023,#친절한,11,8
2024,#재미있는,16,1
2024,#즐길 거리 많은,15,2
2024,#체험할 수 있는,13,3
2024,#쾌적한,10,4
2024,#실험 정신,7,5
2024,#의미있는,7,6
2024,#친절한,5,7
2024,#혼잡한,4,8
2025,#즐길 거리 많은,11,1
2025,#실험 정신,9,2
2025,#의미있는,8,3
2025,#재미있는,8,4
2025,#체험할 수 있는,8,5
2025,#혼잡한,8,6
2025,#친절한,5,7
2025,#쾌적한,4,8
